	0	1
1314	-9	7
1315	0	-6
1316	32	0
1317	1	-1
1318	25	-7
1319	-8	2
1320	-9	7
1321	-4	-18
1322	-6	-18
1323	17	-5
1324	-47	5
1325	16	-26
1326	26	-2
1327	-5	13
1328	-20	-4
1329	-39	19
1330	-23	41
1331	-16	14
1332	0	-8
1333	27	-19
1334	-9	-5
1335	-4	6
1336	1	13
1337	0	10
1338	-18	10
1339	-13	1
1340	-5	15
1341	4	14
1342	-30	10
1343	-15	-5
1344	-2	2
1345	-11	-13
1346	-23	5
1347	2	-4
1348	12	-4
1349	-31	35
1350	1	13
1351	-8	18
1352	-3	-3
1353	-14	8
1354	8	-8
1355	-29	13
1356	13	-7
1357	28	-18
1358	2	10
1359	-9	1
1360	-18	38
1361	-5	9
1362	-5	15
1363	-2	-20
1364	-8	16
1365	-13	1
1366	-13	35
1367	4	6
1368	-9	19
1369	-22	0
1370	12	-12
1371	-15	-9
1372	11	15
1373	16	22
1374	-10	-6
1375	-3	-1
1376	14	2
1377	15	-11
1378	15	3
1379	-14	12
1380	0	-4
1381	7	21
1382	-13	19
1383	-4	-6
1384	-23	5
1385	16	-6
1386	-34	2
1387	19	-7
1388	-19	-7
1389	6	-8
1390	28	-4
1391	19	5
1392	16	4
1393	3	13
1394	3	19
1395	12	22
1396	2	10
1397	-29	9
1398	-29	-13
1399	10	20
1400	5	9
1401	-18	28
1402	-28	20
1403	7	5
1404	1	-7
1405	-4	14
1406	-2	6
1407	3	1
1408	-1	-29
1409	-2	-4
1410	14	-26
1411	15	-11
1412	-7	-7
1413	14	-8
1414	-22	18
1415	17	15
1416	34	2
1417	-9	-11
1418	9	-11
1419	4	-14
1420	2	-26
1421	-7	-29
1422	-21	-9
1423	-8	-26
1424	31	-5
1425	-8	34
1426	-12	8
1427	-5	1
1428	-3	-7
1429	-20	-2
1430	16	0
1431	-3	-33
1432	-12	-12
1433	3	29
1434	17	-7
1435	-6	16
1436	16	0
1437	41	3
1438	19	-1
1439	6	8
1440	31	-13
1441	8	30
1442	12	-28
1443	15	-3
1444	-3	9
1445	-12	10
1446	-4	0
1447	-3	-9
1448	-6	14
1449	9	19
1450	11	-5
1451	-16	-6
1452	30	-6
1453	23	9
1454	9	29
1455	24	-2
1456	9	-39
1457	-16	14
1458	12	12
1459	-7	-5
1460	-17	3
1461	-20	46
1462	-8	8
1463	27	5
1464	-26	14
1465	11	-19
1466	-3	-11
1467	-20	2
1468	-22	-2
1469	-7	-17
1470	-9	-1
1471	16	-10
1472	1	5
1473	-10	32
1474	2	6
1475	-3	-5
1476	-3	-7
1477	8	-14
1478	4	4
1479	-11	15
1480	8	20
1481	31	-11
1482	29	-15
1483	6	8
1484	30	10
1485	-1	21
1486	-23	-7
1487	12	2
1488	3	-29
1489	-22	-12
1490	-14	-2
1491	3	13
1492	-29	-17
1493	0	22
1494	-12	24
1495	43	5
1496	4	-4
1497	-27	3
1498	7	-21
1499	22	-28
1500	-2	-14
1501	1	3
1502	11	31
1503	-20	10
1504	-5	-5
1505	-22	-16
1506	22	-26
1507	-5	5
1508	3	23
1509	8	18
1510	20	-20
1511	-1	-7
1512	-14	14
1513	3	9
1514	5	-7
1515	16	-14
1516	-20	12
1517	-9	-23
1518	-19	17
1519	2	-12
1520	35	-21
1521	0	10
1522	-12	0
1523	-21	-3
1524	3	11
1525	30	-16
1526	-18	6
1527	-13	-15
1528	-12	40
1529	19	-11
1530	-3	5
1531	-14	-4
1532	6	2
1533	-17	9
1534	-7	-3
1535	24	6
1536	-6	-12
1537	1	17
1538	21	-21
1539	14	22
1540	-2	-32
1541	3	3
1542	15	-39
1543	-10	18
1544	9	-9
1545	-18	6
1546	-8	2
1547	11	-5
1548	-1	-19
1549	-26	14
1550	28	-6
1551	1	-19
1552	-2	-20
1553	15	-9
1554	15	-11
1555	6	2
1556	-6	4
1557	-23	-3
1558	21	-5
1559	-6	-2
1560	19	5
1561	-22	2
1562	24	10
1563	-7	13
1564	17	-17
1565	18	-2
1566	-16	10
1567	-5	-9
1568	10	8
1569	-1	19
1570	19	-3
1571	-22	-10
1572	30	8
1573	25	-23
1574	5	-41
1575	2	-2
1576	17	-25
1577	28	12
1578	18	4
1579	-13	11
1580	-25	9
1581	-20	0
1582	-10	-8
1583	1	-7
1584	0	14
1585	-53	11
1586	31	-19
1587	0	-4
1588	16	6
1589	25	-7
1590	9	3
1591	-8	16
1592	-11	-5
1593	22	-6
1594	-4	-22
1595	-17	23
1596	7	-3
1597	-14	22
1598	16	10
1599	-3	25
1600	14	4
1601	3	-13
1602	-1	-3
1603	10	-2
1604	4	6
1605	7	3
1606	-1	21
1607	8	-20
1608	5	-5
1609	-4	-16
1610	-10	20
1611	-9	15
1612	1	-5
1613	18	-14
1614	4	10
1615	-1	-1
1616	-8	-18
1617	-25	-5
1618	-9	25
1619	-8	4
1620	-2	4
1621	-21	-9
1622	11	1
1623	10	10
1624	5	-29
1625	-10	-2
1626	4	-10
1627	-13	-5
1628	9	7
1629	-4	4
1630	6	4
1631	23	-29
1632	0	22
1633	-5	-13
1634	19	1
1635	-4	-8
1636	6	12
1637	-17	15
1638	-5	-27
1639	2	-22
1640	-9	1
1641	-4	-20
1642	-42	8
1643	-11	-7
1644	-21	5
1645	-6	-6
1646	-20	-14
